,undergrad,source,target,job,counts,grad
27,,23,57,Financial Analyst,38.35390947,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
28,,23,54,Quantitative Analyst,38.35390947,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
29,,23,58,Compliance Manager,38.35390947,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
30,,15,59,Machine Learing Engineer,38.35390947,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
31,,15,60,Artificial Intelligence Research,38.35390947,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
32,,15,42,Data Scientist,38.35390947,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
33,,15,61,Computer Vision Engineer,38.35390947,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
34,,24,62,Speech Pathologist,38.35390947,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
35,,24,63,Pediatric Speech Pathologist,38.35390947,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
36,,24,64,Professor,38.35390947,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
37,,22,65,Astronomer,38.35390947,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
38,,22,66,Physicists,38.35390947,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
39,,22,67,Aerospace Engineer,38.35390947,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
40,,22,68,Biochemists and Biophysicists,38.35390947,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
41,,22,69,Physics Teachers,38.35390947,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
42,,21,70,Occupational Therapist,38.35390947,"MS in Occupational Therapy Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
43,,21,71,Clinic Director,38.35390947,"MS in Occupational Therapy Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
44,,21,72,Health Specialties College Instructor,38.35390947,"MS in Occupational Therapy Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
45,,21,73,Rehabilitation Manager,38.35390947,"MS in Occupational Therapy Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
46,,21,74,Pediatric Occupational Therapist,38.35390947,"MS in Occupational Therapy Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
